WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
198296.0,198296,1,Area de Conservación Guanacaste,Zone de conservation de Guanacaste,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),1,0.0,502.494849564829,1470.0,1514.28411794319,Not Reported,0.0,Inscribed,1999,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,CR-G,CRI,CRI,Not Applicable,Not Applicable
145582.0,145582,1,Cocos Island National Park,Parc national de l'île Cocos,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),2,0.0,1851.02066119784,1997.9,1876.30534120646,Not Reported,0.0,Inscribed,1997,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,CR-P,CRI,CRI,Not Applicable,Not Applicable
555593955.0,555593955,1,Lapa Rios Reserve,Lapa Rios Lapa Rios Conservation Easement #032-S-01,Conservation Easement,Conservation Easement,National,Ib,Not Applicable,0,0.0,0.0,3.91,3.9631812858,Not Applicable,0.0,Designated,2013,Joint governance,For-profit organisations,Lapa Rios Ecolodge and Center for Environmental Law and Natural Resources (CEDARENA),Not Reported,Expert Verified,1873,CR-P,CRI,CRI,Not Applicable,Not Applicable
555704246.0,555704246,1,Barra del Colorado,Barra del Colorado,Area Marina de Manejo,Marine Management Area,National,VI,Not Applicable,1,667.82,381.941956059257,667.82,654.306524353354,Not Reported,0.0,Designated,2020,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
555636418.0,555636418,1,Cabo Blanco,Cabo Blanco,Area Marina de Manejo,Marine Management Area,National,VI,Not Applicable,2,820.687,823.912994397527,824.844970703125,828.222495173928,Not Reported,0.0,Designated,1963,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
555697608.0,555697608,1,Bahia Santa Elena,Bahia Santa Elena,Area Marina de Manejo,Marine Management Area,National,VI,Not Applicable,1,7.23592,5.60012566167679,7.23591995239258,7.25936257283312,Not Reported,0.0,Designated,2018,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
102337.0,102337,1,Alberto Manuel Brenes,Alberto Manuel Brenes,Reserva Biologica,Biological Reserve,National,Ia,Not Applicable,0,0.0,0.0,77.9977035522461,78.3284971647317,Not Applicable,0.0,Proposed,1993,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
302001.0,302001,1,Palustrino Corral de piedra,Palustrino Corral de piedra,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,23.8484992980957,23.9377733572794,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
302002.0,302002,1,Lacustrino Bonilla Bonillita,Lacustrino Bonilla Bonillita,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,0.4998419880867,0.501958955450775,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
108165.0,108165,1,Humedal lacustrino Rio Canas,Humedal lacustrino Rio Canas,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,6.5568699836731,6.57967486285445,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
19368.0,19368,1,Guanacaste,Guanacaste,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,342.152008056641,343.357141390784,Not Applicable,0.0,Designated,1991,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
168.0,168,1,Rincon de la Vieja,Rincon de la Vieja,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,158.763000488281,159.342793481203,Not Applicable,0.0,Designated,1974,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
166.0,166,1,Santa Rosa,Santa Rosa,Parque Nacional,National Park,National,II,Not Applicable,1,308.87,424.362634591039,425.598999023438,821.236716486066,Not Reported,0.0,Designated,1966,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
167.0,167,1,Tortuguero,Tortuguero,Parque Nacional,National Park,National,II,Not Applicable,1,264.5584,504.698962086332,502.765014648438,770.563635175152,Not Reported,0.0,Designated,1970,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
164.0,164,1,Corcovado,Corcovado,Parque Nacional,National Park,National,II,Not Applicable,0,422.2026,0.0240031872911791,422.263000488281,424.093847717441,Not Applicable,0.0,Designated,1975,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
102367.0,102367,1,Piedras Blancas,Piedras Blancas,Parque Nacional,National Park,National,II,Not Applicable,0,141.3341,0.84849532950698,141.333999633789,141.929836178523,Not Applicable,0.0,Designated,1991,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
30595.0,30595,1,Marino Ballena,Marino Ballena,Parque Nacional,National Park,National,II,Not Applicable,2,51.9089,48.7778289534475,51.9089012145996,53.9530032863018,Not Reported,0.0,Designated,1992,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
2250.0,2250,1,Manuel Antonio,Manuel Antonio,Parque Nacional,National Park,National,II,Not Applicable,2,175.224,256.394510699876,256.695007324219,274.364512080734,Not Reported,0.0,Designated,1972,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
4646.0,4646,1,Palo Verde,Palo Verde,Parque Nacional,National Park,National,II,Not Applicable,0,182.2322,0.170498630600793,182.548004150391,183.232008206095,Not Applicable,0.0,Designated,1980,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
102334.0,102334,1,Volcan Tenorio,Volcan Tenorio,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,128.990005493164,129.498261203325,Not Applicable,0.0,Designated,1976,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
108173.0,108173,1,Tapanti-Macizo de la Muerte,Tapanti-Macizo de la Muerte,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,583.205017089844,585.702962819657,Not Applicable,0.0,Designated,2000,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
157.0,157,1,Carara,Carara,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,53.3008995056152,53.5250396729721,Not Applicable,0.0,Designated,1998,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
